area_id,area_name,monster_id,monster_name,skill_id,skill_name,skill_type,story_skill_status,project_evidence,external_fact,inference,unknown,visual_evidence_reuse,user_approved
area_01,헤네시스 근교,m_snail,달팽이,s_mon_snail_dew_trail,이슬 미끄럼길,액티브,NO_OBVIOUS_ISSUE,승인 INPUT V2.4의 확정 스킬/역할과 기존 전체 프레임·ICON 시각 대조를 재사용.,외부 사실을 추가로 단정하지 않음; 창작 스킬명 자체는 오류로 처리하지 않음.,몬스터·지역 핵심 소재와 스킬명/효과/실제 아트 사이에 명백한 충돌 없음.,동일한 원작 공식 스킬명의 존재 여부는 판정 기준이 아님.,REUSED: previous full-frame+ICON review; repack role PNG SHA-256 unchanged,NO
area_01,헤네시스 근교,m_blue_snail,파란 달팽이,s_mon_blue_snail,푸른 껍질,버프,NO_OBVIOUS_ISSUE,승인 INPUT V2.4의 확정 스킬/역할과 기존 전체 프레임·ICON 시각 대조를 재사용.,외부 사실을 추가로 단정하지 않음; 창작 스킬명 자체는 오류로 처리하지 않음.,몬스터·지역 핵심 소재와 스킬명/효과/실제 아트 사이에 명백한 충돌 없음.,동일한 원작 공식 스킬명의 존재 여부는 판정 기준이 아님.,REUSED: previous full-frame+ICON review; repack role PNG SHA-256 unchanged,NO
area_01,헤네시스 근교,m_mushroom,주황 버섯,s_mon_mushroom,포자 살포,액티브,NO_OBVIOUS_ISSUE,승인 INPUT V2.4의 확정 스킬/역할과 기존 전체 프레임·ICON 시각 대조를 재사용.,외부 사실을 추가로 단정하지 않음; 창작 스킬명 자체는 오류로 처리하지 않음.,몬스터·지역 핵심 소재와 스킬명/효과/실제 아트 사이에 명백한 충돌 없음.,동일한 원작 공식 스킬명의 존재 여부는 판정 기준이 아님.,REUSED: previous full-frame+ICON review; repack role PNG SHA-256 unchanged,NO
area_01,헤네시스 근교,m_mushmom,머쉬맘,s_mon_mushmom,머쉬맘의 포자 충격,액티브,NO_OBVIOUS_ISSUE,승인 INPUT V2.4의 확정 스킬/역할과 기존 전체 프레임·ICON 시각 대조를 재사용.,외부 사실을 추가로 단정하지 않음; 창작 스킬명 자체는 오류로 처리하지 않음.,몬스터·지역 핵심 소재와 스킬명/효과/실제 아트 사이에 명백한 충돌 없음.,동일한 원작 공식 스킬명의 존재 여부는 판정 기준이 아님.,REUSED: previous full-frame+ICON review; repack role PNG SHA-256 unchanged,NO
area_01,헤네시스 근교,m_horny_mushroom,뿔버섯,s_mon_horny_mushroom,단단한 뿔,패시브,NO_OBVIOUS_ISSUE,승인 INPUT V2.4의 확정 스킬/역할과 기존 전체 프레임·ICON 시각 대조를 재사용.,외부 사실을 추가로 단정하지 않음; 창작 스킬명 자체는 오류로 처리하지 않음.,몬스터·지역 핵심 소재와 스킬명/효과/실제 아트 사이에 명백한 충돌 없음.,동일한 원작 공식 스킬명의 존재 여부는 판정 기준이 아님.,REUSED: previous full-frame+ICON review; repack role PNG SHA-256 unchanged,NO
area_02,페리온,m_stone_golem,스톤골렘,s_mon_stone,암석 피부,버프,REGION_MISMATCH,"프로젝트: area_02 페리온, 스킬 ‘암석 피부’. VFX는 암석판 방패와 금빛 균열광.",외부 확인: 스톤골렘은 헤네시스 골렘의 사원 몬스터로 기록됨.,스킬명·효과·아트는 몬스터와 맞지만 Area 귀속만 원작과 다르다. 원화 재생성 사유는 아니다.,프로젝트가 페리온의 암석 테마를 우선한 의도적 재배치인지 확정 기록 없음.,REUSED: previous full-frame+ICON review; repack role PNG SHA-256 unchanged,NO
area_02,페리온,m_axe_stump,엑스텀프,s_mon_axe_stump,도끼 휘두르기,액티브,NO_OBVIOUS_ISSUE,승인 INPUT V2.4의 확정 스킬/역할과 기존 전체 프레임·ICON 시각 대조를 재사용.,외부 사실을 추가로 단정하지 않음; 창작 스킬명 자체는 오류로 처리하지 않음.,몬스터·지역 핵심 소재와 스킬명/효과/실제 아트 사이에 명백한 충돌 없음.,동일한 원작 공식 스킬명의 존재 여부는 판정 기준이 아님.,REUSED: previous full-frame+ICON review; repack role PNG SHA-256 unchanged,NO
area_02,페리온,m_dark_axe_stump,다크 엑스텀프,s_mon_dark_axe_stump,어둠의 뿌리,액티브,NO_OBVIOUS_ISSUE,승인 INPUT V2.4의 확정 스킬/역할과 기존 전체 프레임·ICON 시각 대조를 재사용.,외부 사실을 추가로 단정하지 않음; 창작 스킬명 자체는 오류로 처리하지 않음.,몬스터·지역 핵심 소재와 스킬명/효과/실제 아트 사이에 명백한 충돌 없음.,동일한 원작 공식 스킬명의 존재 여부는 판정 기준이 아님.,REUSED: previous full-frame+ICON review; repack role PNG SHA-256 unchanged,NO
area_02,페리온,m_wild_boar,와일드보어,s_mon_wild_boar,저돌 맹진,액티브,NO_OBVIOUS_ISSUE,승인 INPUT V2.4의 확정 스킬/역할과 기존 전체 프레임·ICON 시각 대조를 재사용.,외부 사실을 추가로 단정하지 않음; 창작 스킬명 자체는 오류로 처리하지 않음.,몬스터·지역 핵심 소재와 스킬명/효과/실제 아트 사이에 명백한 충돌 없음.,동일한 원작 공식 스킬명의 존재 여부는 판정 기준이 아님.,REUSED: previous full-frame+ICON review; repack role PNG SHA-256 unchanged,NO
area_02,페리온,m_iron_hog,아이언 호그,s_mon_iron_hog,강철 발굽,패시브,NO_OBVIOUS_ISSUE,승인 INPUT V2.4의 확정 스킬/역할과 기존 전체 프레임·ICON 시각 대조를 재사용.,외부 사실을 추가로 단정하지 않음; 창작 스킬명 자체는 오류로 처리하지 않음.,몬스터·지역 핵심 소재와 스킬명/효과/실제 아트 사이에 명백한 충돌 없음.,동일한 원작 공식 스킬명의 존재 여부는 판정 기준이 아님.,REUSED: previous full-frame+ICON review; repack role PNG SHA-256 unchanged,NO
