id,name,entry_room_id,default_unlocked,sort_order,note
area_00,메이플 아일랜드·리스항구,r_001,true,1,지역 20칸의 첫 번째 (Lv1~10). 버섯마을에서 출발해 숲길과 사우스페리를 지나 리스항구 해안가의 마노에게 닿는 입문 모험 지역
area_01,헤네시스 근교,r_01,false,2,지역 20칸의 두 번째 (Lv11~20). 기존 저장 호환성을 위해 area_id와 방 id를 유지하고 레벨 대역만 10 올렸다
area_03,엘리니아,r_21,false,3,지역 20칸의 세 번째 (Lv21~30). 기존 저장 호환성을 위해 area_id와 방 id를 유지하고 레벨 대역만 10 올렸다
area_02,페리온,r_11,false,4,지역 20칸의 네 번째 (Lv31~40). 기존 저장 호환성을 위해 area_id와 방 id를 유지하고 레벨 대역만 10 올렸다
area_04,커닝시티,r_041,false,5,지역 20칸의 다섯 번째 (Lv41~50). 지하철 계열의 선로·환승구역·1·2호선으로 구성한다
area_05,노틸러스,r_051,false,6,지역 20칸의 여섯 번째 (Lv51~60). 원작 노틸러스의 해안과 갑판을 지나 주니어 발록을 상대한다
area_07,슬리피우드,r_071,false,7,지역 20칸의 일곱 번째 (Lv61~70). 늪과 개미굴을 지나 저주받은 신전의 타우로마시스에게 닿는다
area_08,오르비스,r_081,false,8,지역 20칸의 여덟 번째 (Lv71~80). 구름공원과 별빛길을 지나 엘리쟈의 정원에 닿는다
area_09,엘나스 산맥,r_091,false,9,지역 20칸의 아홉 번째 (Lv81~90). 설원과 빙벽을 넘어 추방된 설산의 마녀를 상대한다
area_10,아쿠아로드,r_101,false,10,지역 20칸의 열 번째 (Lv91~100). 밝은 연안에서 심해로 내려가 피아누스의 동굴에 닿는다
