area_id,monster_id,role,status,reason,finish,board,baseline_file,detail_frame,companion_file,monster_name,skill_id,skill_name,actual_files
area_02,m_stone_golem,ICON,NEEDS_USER_REVIEW,금속·나무·뼈·돌을 둘러싼 두꺼운 거의 검은 외곽과 거친 면 질감이 AREA00 및 AREA20의 더 가는 윤곽보다 강조된다. 소재의 거칠기는 허용되므로 곧바로 오류로 확정하지 않는다.,소재의 결은 유지. ICON 외곽 굵기와 검은 테두리 강조를 허용할지 사용자 판단,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\STYLE_OUTLIERS\area_02_m_stone_golem_ICON_COMPARE.png,AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/ICON/002_m_blue_snail_s_mon_blue_snail_ICON.png,AREA_02_IMAGES_OUTPUT/ICON/001_m_stone_golem_s_mon_stone_ICON.png,AREA_02_IMAGES_OUTPUT/CAST/001_m_stone_golem_s_mon_stone_CAST_F04.png,스톤골렘,s_mon_stone,암석 피부,AREA_02_IMAGES_OUTPUT/ICON/001_m_stone_golem_s_mon_stone_ICON.png
area_02,m_axe_stump,ICON,NEEDS_USER_REVIEW,금속·나무·뼈·돌을 둘러싼 두꺼운 거의 검은 외곽과 거친 면 질감이 AREA00 및 AREA20의 더 가는 윤곽보다 강조된다. 소재의 거칠기는 허용되므로 곧바로 오류로 확정하지 않는다.,소재의 결은 유지. ICON 외곽 굵기와 검은 테두리 강조를 허용할지 사용자 판단,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\STYLE_OUTLIERS\area_02_m_axe_stump_ICON_COMPARE.png,AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/ICON/002_m_blue_snail_s_mon_blue_snail_ICON.png,AREA_02_IMAGES_OUTPUT/ICON/002_m_axe_stump_s_mon_axe_stump_ICON.png,AREA_02_IMAGES_OUTPUT/CAST/002_m_axe_stump_s_mon_axe_stump_CAST_F04.png,엑스텀프,s_mon_axe_stump,도끼 휘두르기,AREA_02_IMAGES_OUTPUT/ICON/002_m_axe_stump_s_mon_axe_stump_ICON.png
area_02,m_dark_axe_stump,ICON,NEEDS_USER_REVIEW,금속·나무·뼈·돌을 둘러싼 두꺼운 거의 검은 외곽과 거친 면 질감이 AREA00 및 AREA20의 더 가는 윤곽보다 강조된다. 소재의 거칠기는 허용되므로 곧바로 오류로 확정하지 않는다.,소재의 결은 유지. ICON 외곽 굵기와 검은 테두리 강조를 허용할지 사용자 판단,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\STYLE_OUTLIERS\area_02_m_dark_axe_stump_ICON_COMPARE.png,AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/ICON/002_m_blue_snail_s_mon_blue_snail_ICON.png,AREA_02_IMAGES_OUTPUT/ICON/003_m_dark_axe_stump_s_mon_dark_axe_stump_ICON.png,AREA_02_IMAGES_OUTPUT/CAST/003_m_dark_axe_stump_s_mon_dark_axe_stump_CAST_F04.png,다크 엑스텀프,s_mon_dark_axe_stump,어둠의 뿌리,AREA_02_IMAGES_OUTPUT/ICON/003_m_dark_axe_stump_s_mon_dark_axe_stump_ICON.png
area_02,m_wild_boar,ICON,NEEDS_USER_REVIEW,금속·나무·뼈·돌을 둘러싼 두꺼운 거의 검은 외곽과 거친 면 질감이 AREA00 및 AREA20의 더 가는 윤곽보다 강조된다. 소재의 거칠기는 허용되므로 곧바로 오류로 확정하지 않는다.,소재의 결은 유지. ICON 외곽 굵기와 검은 테두리 강조를 허용할지 사용자 판단,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\STYLE_OUTLIERS\area_02_m_wild_boar_ICON_COMPARE.png,AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/ICON/002_m_blue_snail_s_mon_blue_snail_ICON.png,AREA_02_IMAGES_OUTPUT/ICON/004_m_wild_boar_s_mon_wild_boar_ICON.png,AREA_02_IMAGES_OUTPUT/CAST/004_m_wild_boar_s_mon_wild_boar_CAST_F04.png,와일드보어,s_mon_wild_boar,저돌 맹진,AREA_02_IMAGES_OUTPUT/ICON/004_m_wild_boar_s_mon_wild_boar_ICON.png
area_02,m_iron_hog,ICON,NEEDS_USER_REVIEW,금속·나무·뼈·돌을 둘러싼 두꺼운 거의 검은 외곽과 거친 면 질감이 AREA00 및 AREA20의 더 가는 윤곽보다 강조된다. 소재의 거칠기는 허용되므로 곧바로 오류로 확정하지 않는다.,소재의 결은 유지. ICON 외곽 굵기와 검은 테두리 강조를 허용할지 사용자 판단,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\STYLE_OUTLIERS\area_02_m_iron_hog_ICON_COMPARE.png,AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/ICON/002_m_blue_snail_s_mon_blue_snail_ICON.png,AREA_02_IMAGES_OUTPUT/ICON/005_m_iron_hog_s_mon_iron_hog_ICON.png,AREA_02_IMAGES_OUTPUT/REFERENCE/005_m_iron_hog_s_mon_iron_hog_REFERENCE_F03.png,아이언 호그,s_mon_iron_hog,강철 발굽,AREA_02_IMAGES_OUTPUT/ICON/005_m_iron_hog_s_mon_iron_hog_ICON.png
area_02,m_skeleton_commander,ICON,NEEDS_USER_REVIEW,금속·나무·뼈·돌을 둘러싼 두꺼운 거의 검은 외곽과 거친 면 질감이 AREA00 및 AREA20의 더 가는 윤곽보다 강조된다. 소재의 거칠기는 허용되므로 곧바로 오류로 확정하지 않는다.,소재의 결은 유지. ICON 외곽 굵기와 검은 테두리 강조를 허용할지 사용자 판단,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\STYLE_OUTLIERS\area_02_m_skeleton_commander_ICON_COMPARE.png,AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/ICON/002_m_blue_snail_s_mon_blue_snail_ICON.png,AREA_02_IMAGES_OUTPUT/ICON/006_m_skeleton_commander_s_mon_skeleton_commander_ICON.png,AREA_02_IMAGES_OUTPUT/CAST/006_m_skeleton_commander_s_mon_skeleton_commander_CAST_F04.png,스켈레톤 지휘관,s_mon_skeleton_commander,뼈 무덤,AREA_02_IMAGES_OUTPUT/ICON/006_m_skeleton_commander_s_mon_skeleton_commander_ICON.png
area_02,m_stumpy,ICON,NEEDS_USER_REVIEW,금속·나무·뼈·돌을 둘러싼 두꺼운 거의 검은 외곽과 거친 면 질감이 AREA00 및 AREA20의 더 가는 윤곽보다 강조된다. 소재의 거칠기는 허용되므로 곧바로 오류로 확정하지 않는다.,소재의 결은 유지. ICON 외곽 굵기와 검은 테두리 강조를 허용할지 사용자 판단,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\STYLE_OUTLIERS\area_02_m_stumpy_ICON_COMPARE.png,AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/ICON/002_m_blue_snail_s_mon_blue_snail_ICON.png,AREA_02_IMAGES_OUTPUT/ICON/008_m_stumpy_s_mon_stumpy_ICON.png,AREA_02_IMAGES_OUTPUT/PROJECTILE/008_m_stumpy_s_mon_stumpy_PROJECTILE_F02.png,스텀피,s_mon_stumpy,고목의 생기탄,AREA_02_IMAGES_OUTPUT/ICON/008_m_stumpy_s_mon_stumpy_ICON.png
area_05,m_ribbon_pig,ICON,STYLE_OUTLIER,"256px 원본에서 곡선 외곽과 흰 하이라이트가 굵은 계단형 픽셀 군집으로 끊긴다. AREA00 ICON의 연속적인 곡선·색면 경계와 다르며, 같은 Area의 리본/별가시/집게 CAST는 부드러운 회화적 마감이다.","실루엣·대표색을 유지하고 외곽 계단, 하이라이트의 사각 단위, 명암 경계를 AREA00에 맞춰 정돈",D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\STYLE_OUTLIERS\area_05_m_ribbon_pig_ICON_COMPARE.png,AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/ICON/002_m_blue_snail_s_mon_blue_snail_ICON.png,AREA_05_IMAGES_OUTPUT/ICON/001_m_ribbon_pig_s_mon_ribbon_pig_ICON.png,AREA_05_IMAGES_OUTPUT/CAST/001_m_ribbon_pig_s_mon_ribbon_pig_CAST_F04.png,리본 돼지,s_mon_ribbon_pig,리본 돌진,AREA_05_IMAGES_OUTPUT/ICON/001_m_ribbon_pig_s_mon_ribbon_pig_ICON.png
area_05,m_blue_pig,ICON,STYLE_OUTLIER,"256px 원본에서 곡선 외곽과 흰 하이라이트가 굵은 계단형 픽셀 군집으로 끊긴다. AREA00 ICON의 연속적인 곡선·색면 경계와 다르며, 같은 Area의 리본/별가시/집게 CAST는 부드러운 회화적 마감이다.","실루엣·대표색을 유지하고 외곽 계단, 하이라이트의 사각 단위, 명암 경계를 AREA00에 맞춰 정돈",D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\STYLE_OUTLIERS\area_05_m_blue_pig_ICON_COMPARE.png,AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/ICON/002_m_blue_snail_s_mon_blue_snail_ICON.png,AREA_05_IMAGES_OUTPUT/ICON/002_m_blue_pig_s_mon_blue_pig_ICON.png,AREA_05_IMAGES_OUTPUT/REFERENCE/002_m_blue_pig_s_mon_blue_pig_REFERENCE_F03.png,파란 리본돼지,s_mon_blue_pig,푸른 리본 매듭,AREA_05_IMAGES_OUTPUT/ICON/002_m_blue_pig_s_mon_blue_pig_ICON.png
area_05,m_starfish,ICON,STYLE_OUTLIER,"256px 원본에서 곡선 외곽과 흰 하이라이트가 굵은 계단형 픽셀 군집으로 끊긴다. AREA00 ICON의 연속적인 곡선·색면 경계와 다르며, 같은 Area의 리본/별가시/집게 CAST는 부드러운 회화적 마감이다.","실루엣·대표색을 유지하고 외곽 계단, 하이라이트의 사각 단위, 명암 경계를 AREA00에 맞춰 정돈",D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\STYLE_OUTLIERS\area_05_m_starfish_ICON_COMPARE.png,AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/ICON/002_m_blue_snail_s_mon_blue_snail_ICON.png,AREA_05_IMAGES_OUTPUT/ICON/003_m_starfish_s_mon_starfish_ICON.png,AREA_05_IMAGES_OUTPUT/CAST/003_m_starfish_s_mon_starfish_CAST_F04.png,불가사리,s_mon_starfish,별가시 회전,AREA_05_IMAGES_OUTPUT/ICON/003_m_starfish_s_mon_starfish_ICON.png
area_05,m_jellyfish,ICON,STYLE_OUTLIER,"256px 원본에서 곡선 외곽과 흰 하이라이트가 굵은 계단형 픽셀 군집으로 끊긴다. AREA00 ICON의 연속적인 곡선·색면 경계와 다르며, 같은 Area의 리본/별가시/집게 CAST는 부드러운 회화적 마감이다.","실루엣·대표색을 유지하고 외곽 계단, 하이라이트의 사각 단위, 명암 경계를 AREA00에 맞춰 정돈",D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\STYLE_OUTLIERS\area_05_m_jellyfish_ICON_COMPARE.png,AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/ICON/002_m_blue_snail_s_mon_blue_snail_ICON.png,AREA_05_IMAGES_OUTPUT/ICON/004_m_jellyfish_s_mon_jellyfish_ICON.png,AREA_05_IMAGES_OUTPUT/REFERENCE/004_m_jellyfish_s_mon_jellyfish_REFERENCE_F03.png,쿨 젤리피쉬,s_mon_jellyfish,차가운 젤리,AREA_05_IMAGES_OUTPUT/ICON/004_m_jellyfish_s_mon_jellyfish_ICON.png
