area,monster,skill,skill_name,verdict,reason,reference,source_zip,source_zip_sha256
AREA_00,달팽이,s_mon_snail_dew_trail,이슬 미끄럼길,유지 가능,낮은 점액 띠·방울·우측 전개가 읽힌다. 워터실드/너울이는 강의 물질층과 비교해 코어·중간톤 분리가 있다. 마지막 잔류는 사용자 판단으로 보존.,분출 : 너울이는 강 VI; 워터실드,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_00\20260913_211019\AREA_00_IMAGES_OUTPUT.zip,a0d03bfc88b17d27b22a3ff7458cdc24da388d9e6af704c627671630ab6a5269
AREA_00,파란 달팽이,s_mon_blue_snail,푸른 껍질,수정 필요,소재와 보호막 동작은 맞지만 F03~F05의 상단 반사광/별빛 및 하단에 막대·사각형 투명 구멍이 보인다. 검정 배경에서는 검은 오염처럼 보이나 회색 배경에서 뚫린 영역을 확인. 주변 하이라이트를 보존하며 알파/원화 복구 필요. 생성 원인 자체는 미확인.,워터실드; 로얄 가드 VI,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_00\20260913_211019\AREA_00_IMAGES_OUTPUT.zip,a0d03bfc88b17d27b22a3ff7458cdc24da388d9e6af704c627671630ab6a5269
AREA_00,빨간 달팽이,s_mon_red_snail,붉은 껍질 돌진,유지 가능,압축→우측 돌진→충돌광→파편 순서가 보이며 붉은 껍질 모티브가 일관된다. 스크류 펀치의 방향성 참고와 양립.,스크류 펀치 / 스크류 펀치 강화; 오비탈 플레임 VI,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_00\20260913_211019\AREA_00_IMAGES_OUTPUT.zip,a0d03bfc88b17d27b22a3ff7458cdc24da388d9e6af704c627671630ab6a5269
AREA_00,마노,s_mon_mano,마노의 무지개 파동,유지 가능,낮은 진주 고리·무지개 파동이 단계적으로 확장/분해된다. 검토한 이번 ZIP에서 과거 F05~F07 절단을 재현하지 못함. ICON의 세부 장식은 많지만 중심 고리 식별 가능.,분출 : 너울이는 강 VI; 소울 시커 VI,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_00\20260913_211019\AREA_00_IMAGES_OUTPUT.zip,a0d03bfc88b17d27b22a3ff7458cdc24da388d9e6af704c627671630ab6a5269
AREA_00,슬라임,s_mon_slime,끈적한 몸통,유지 가능,탄성 점액과 반사광이 명확하며 몬스터 몸통 직접 삽입 없음. F07 덩어리 복원은 기존 사용자 판단 항목; 완전 fade 통과로 간주하지 않음.,분출 : 너울이는 강 VI; 워터실드,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_00\20260913_211019\AREA_00_IMAGES_OUTPUT.zip,a0d03bfc88b17d27b22a3ff7458cdc24da388d9e6af704c627671630ab6a5269
AREA_01,달팽이,s_mon_snail_dew_trail,이슬 미끄럼길,유지 가능,청록 점액과 얇은 지면 이동은 명세에 맞는다. AREA00보다 ICON 방울이 작고 꼬리가 길다. 공통 스킬의 최종 대표본 통일 여부는 별도 결정.,분출 : 너울이는 강 VI; 워터실드,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_01\20260913_223849\AREA_01_IMAGES_OUTPUT.zip,72f063b2d5a5783abada915dd9109141f069bcb1ed8f4040f106359fb800755e
AREA_01,파란 달팽이,s_mon_blue_snail,푸른 껍질,유지 가능,"보호막 상승·맥동·소멸, 물질층과 ICON 연결이 명확하다. AREA00과 소재 언어는 같으나 파일/세부 형태는 다른 후보.",워터실드; 로얄 가드 VI,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_01\20260913_223849\AREA_01_IMAGES_OUTPUT.zip,72f063b2d5a5783abada915dd9109141f069bcb1ed8f4040f106359fb800755e
AREA_01,주황 버섯,s_mon_mushroom,포자 살포,유지 가능,베이지 포자 세 덩이와 연두 입자가 성장 후 흩어진다. 포이즌 미스트처럼 기체의 농도 차이가 남고 독색/몬스터 본체를 복제하지 않음.,포이즌 미스트; 정기 뿌리기 / 정기 뿌리기 강화,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_01\20260913_223849\AREA_01_IMAGES_OUTPUT.zip,72f063b2d5a5783abada915dd9109141f069bcb1ed8f4040f106359fb800755e
AREA_01,머쉬맘,s_mon_mushmom,머쉬맘의 포자 충격,보정 권장,버섯갓 충격과 후반 포자 덩어리는 맞지만 F03~F06의 입자성 황금광이 불꽃 폭발처럼도 읽힌다. 포자 중간톤/둥근 덩어리를 더 남기고 코어광만 제한 권장. INPUT 자체가 황갈+황금이므로 전면 색 교체 사유는 아님.,포이즌 미스트; 어스 브레이크 VI,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_01\20260913_223849\AREA_01_IMAGES_OUTPUT.zip,72f063b2d5a5783abada915dd9109141f069bcb1ed8f4040f106359fb800755e
AREA_01,뿔버섯,s_mon_horny_mushroom,단단한 뿔,유지 가능,상아 쐐기·갈색 갓·단단한 면 분리가 명세 ICON 모티브와 일치. 실제 몬스터의 청회색과 차이는 INPUT에 지정된 갈색에서 비롯됨.,로얄 가드 VI; [처형] 포이즌 니들,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_01\20260913_223849\AREA_01_IMAGES_OUTPUT.zip,72f063b2d5a5783abada915dd9109141f069bcb1ed8f4040f106359fb800755e
AREA_02,스톤골렘,s_mon_stone,암석 피부,유지 가능,겹친 암석 판·균열광·보호 형태와 해체가 명확하다. 로얄 가드의 보호 연출을 모티브 복제 없이 암석으로 번역함.,토파류 : 지 VI; 로얄 가드 VI,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_02\20260913_223849\AREA_02_IMAGES_OUTPUT.zip,e7899d702cf28c0166c43f01f4f08f294439ab9bbf3da719332036711c40db30
AREA_02,엑스텀프,s_mon_axe_stump,도끼 휘두르기,유지 가능,"도끼날 호와 나무 파편, 타격광이 읽힌다. 전방 공격형 효과로 기능하며 ICON과 소재 일치.",스크류 펀치 / 스크류 펀치 강화; [처형] 포이즌 니들,D:\maplestory_levup\docs\art\chatgpt-work-runs\AREA_02\20260913_223849\AREA_02_IMAGES_OUTPUT.zip,e7899d702cf28c0166c43f01f4f08f294439ab9bbf3da719332036711c40db30
