id,name,entry_room_id,default_unlocked,sort_order,note
area_00,메이플 아일랜드·리스항구,r_001,true,1,지역 20칸의 첫 번째 (Lv1~10). 버섯마을에서 출발해 숲길과 사우스페리를 지나 리스항구 해안가의 마노에게 닿는 입문 모험 지역
area_01,헤네시스 근교,r_01,false,2,지역 20칸의 두 번째 (Lv11~20). 기존 저장 호환성을 위해 area_id와 방 id를 유지하고 레벨 대역만 10 올렸다
area_03,엘리니아,r_21,false,3,지역 20칸의 세 번째 (Lv21~30). 기존 저장 호환성을 위해 area_id와 방 id를 유지하고 레벨 대역만 10 올렸다
area_02,페리온,r_11,false,4,지역 20칸의 네 번째 (Lv31~40). 기존 저장 호환성을 위해 area_id와 방 id를 유지하고 레벨 대역만 10 올렸다
area_04,커닝시티,r_041,false,5,지역 20칸의 다섯 번째 (Lv41~50). 지하철 계열의 선로·환승구역·1·2호선으로 구성한다
area_05,노틸러스,r_051,false,6,지역 20칸의 여섯 번째 (Lv51~60). 노틸러스 해안과 갑판을 지나 플로리나 비치에서 건너온 킹크랑을 상대한다
area_07,슬리피우드,r_071,false,7,지역 20칸의 일곱 번째 (Lv61~70). 늪과 개미굴을 지나 주니어 발록의 금지된 제단에 닿는다
area_08,오르비스,r_081,false,8,지역 20칸의 여덟 번째 (Lv71~80). 구름공원과 별빛길을 지나 엘리쟈의 정원에 닿는다
area_09,엘나스 산맥,r_091,false,9,지역 20칸의 아홉 번째 (Lv81~90). 설원과 빙벽을 넘어 추방된 설산의 마녀를 상대한다
area_10,아쿠아로드,r_101,false,10,지역 20칸의 열 번째 (Lv91~100). 밝은 연안에서 심해로 내려가 피아누스의 동굴에 닿는다
area_11,루더스 호수,r_111,false,11,지역 20칸의 열한 번째 (Lv101~110). 에오스탑을 아래로 내려가 숨겨진 탑의 롬바드에 닿는다
area_12,루디브리엄,r_121,false,12,지역 20칸의 열두 번째 (Lv111~120). 장난감 성과 공장을 지나 시간의 소용돌이 타이머에 닿는다
area_13,니할 사막,r_131,false,13,지역 20칸의 열세 번째 (Lv121~130). 아리안트 밖 사막길과 유적을 지나 잠든 데우를 깨운다
area_14,마가티아,r_141,false,14,지역 20칸의 열네 번째 (Lv131~140). 제뉴미스트와 알카드노 연구소를 가로질러 키메라 실험실에 닿는다
area_15,무릉도원,r_151,false,15,지역 20칸의 열다섯 번째 (Lv141~150). 복숭아 계곡과 대나무 수련장을 지나 태륜의 수련장에 닿는다
area_16,미나르숲,r_161,false,16,지역 20칸의 열여섯 번째 (Lv151~160). 하늘 둥지와 와이번 협곡을 지나 마뇽의 숲에 닿는다
area_17,시간의 신전,r_171,false,17,지역 20칸의 열일곱 번째 (Lv161~170). 추억의 길과 무너진 회랑을 지나 기억을 먹는 도도에 닿는다
area_18,지구방위본부,r_181,false,18,지역 20칸의 열여덟 번째 (Lv171~180). 외계 초원과 기지 통로를 지나 제노의 격납고에 닿는다
area_19,미래의 문,r_191,false,19,지역 20칸의 열아홉 번째 (Lv181~190). 기사단 요새를 돌파해 타락한 시그너스의 정원에 닿는다
area_20,황혼의 페리온,r_201,false,20,지역 20칸의 스무 번째 (Lv191~200). 망가진 페리온의 바위길과 발굴지를 지나 변형된 스텀피와 여정을 마친다
