area_id,monster_id,skill_id,visual_status,observation,action,review_basis
area_01,m_blue_snail,s_mon_blue_snail,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_01_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_01,m_horny_mushroom,s_mon_horny_mushroom,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_01_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_01,m_mushmom,s_mon_mushmom,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_01_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_01,m_mushroom,s_mon_mushroom,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_01_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_01,m_snail,s_mon_snail_dew_trail,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_01_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_02,m_axe_stump,s_mon_axe_stump,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_02_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_02,m_dark_axe_stump,s_mon_dark_axe_stump,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_02_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_02,m_fire_boar,s_mon_fire_boar,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_02_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_02,m_iron_hog,s_mon_iron_hog,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_02_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_02,m_skeleton_commander,s_mon_skeleton_commander,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_02_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_02,m_stone_golem,s_mon_stone,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_02_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_02,m_stumpy,s_mon_stumpy,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_02_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_02,m_wild_boar,s_mon_wild_boar,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_02_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_03,m_bubbling,s_mon_bubbling,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_03_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_03,m_dark_stump,s_mon_dark_stump,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_03_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_03,m_fairy,s_mon_fairy,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_03_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_03,m_faust,s_mon_faust,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_03_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_03,m_slime,s_mon_slime,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_03_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_04,m_jr_wraith,s_mon_jr_wraith,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_04_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_04,m_octopus,s_mon_octopus,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_04_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_04,m_shade,s_mon_shade,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_04_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_04,m_stirge,s_mon_stirge,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_04_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_04,m_wraith,s_mon_wraith,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_04_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_05,m_blue_pig,s_mon_blue_pig,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_05_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_05,m_jellyfish,s_mon_jellyfish,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_05_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_05,m_king_clang,s_mon_king_clang,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_05_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_05,m_ribbon_pig,s_mon_ribbon_pig,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_05_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_05,m_starfish,s_mon_starfish,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_05_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_07,m_copper_drake,s_mon_copper_drake,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_07_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_07,m_drake,s_mon_drake,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_07_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_07,m_jr_balrog,s_mon_jr_balrog,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_07_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_07,m_tauromacis,s_mon_tauromacis,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_07_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_07,m_wild_kargo,s_mon_wild_kargo,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_07_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_07,m_zombie_mushroom,s_mon_zombie_mushroom,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_07_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_08,m_eliza,s_mon_eliza,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_08_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_08,m_jr_cellion,s_mon_jr_cellion,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_08_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_08,m_lunar_pixie,s_mon_lunar_pixie,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_08_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_08,m_luster_pixie,s_mon_luster_pixie,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_08_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_08,m_star_pixie,s_mon_star_pixie,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_08_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_09,m_dark_jr_yeti,s_mon_dark_jr_yeti,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_09_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_09,m_hector,s_mon_hector,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_09_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_09,m_jr_yeti,s_mon_jr_yeti,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_09_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_09,m_snow_witch,s_mon_snow_witch,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_09_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_09,m_white_fang,s_mon_white_fang,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_09_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_10,m_bubble_fish,s_mon_bubble_fish,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_10_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_10,m_mask_fish,s_mon_mask_fish,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_10_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_10,m_pianus,s_mon_pianus,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_10_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_10,m_shark,s_mon_shark,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_10_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_10,m_squid,s_mon_squid,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_10_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_11,m_bloctopus,s_mon_bloctopus,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_11_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_11,m_drumming_bunny,s_mon_drumming_bunny,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_11_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_11,m_king_bloctopus,s_mon_king_bloctopus,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_11_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_11,m_ratz,s_mon_ratz,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_11_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_11,m_rombot,s_mon_rombot,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_11_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_12,m_brown_teddy,s_mon_brown_teddy,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_12_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_12,m_chronos,s_mon_chronos,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_12_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_12,m_master_robo,s_mon_master_robo,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_12_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_12,m_timer,s_mon_timer,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_12_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_12,m_toy_trojan,s_mon_toy_trojan,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_12_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_13,m_deo,s_mon_deo,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_13_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_13,m_meercat,s_mon_meercat,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_13_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_13,m_sand_dwarf,s_mon_sand_dwarf,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_13_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_13,m_scarf_plead,s_mon_scarf_plead,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_13_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_13,m_white_sand_rabbit,s_mon_white_sand_rabbit,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_13_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_14,m_chimera,s_mon_chimera,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_14_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_14,m_cube_slime,s_mon_cube_slime,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_14_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_14,m_homun,s_mon_homun,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_14_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_14,m_mithril_mutae,s_mon_mithril_mutae,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_14_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_14,m_roid,s_mon_roid,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_14_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_15,m_blue_flower_serpent,s_mon_blue_flower_serpent,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_15_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_15,m_peach_monkey,s_mon_peach_monkey,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_15_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_15,m_straw_dummy,s_mon_straw_dummy,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_15_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_15,m_tae_roon,s_mon_tae_roon,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_15_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_15,m_wooden_dummy,s_mon_wooden_dummy,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_15_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_16,m_blood_harp,s_mon_blood_harp,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_16_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_16,m_blue_wyvern,s_mon_blue_wyvern,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_16_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_16,m_dark_wyvern,s_mon_dark_wyvern,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_16_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_16,m_harp,s_mon_harp,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_16_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
area_16,m_manon,s_mon_manon,NO_OBVIOUS_ISSUE,"No obvious subject mixing, role reversal, or clipping in the reviewed actual ICON/VFX frames.",,visual_review/AREA_16_CONTACT.png: INPUT monster/spec plus actual OUTPUT frame samples
