index,skill_resource_name,RUID,source,known_era_version_date,chronology_confidence,style_priority,effect_family,visual_density,screen_occupancy,color_structure,hit_treatment,trail_treatment,fragment_treatment,animation_rhythm,icon_usefulness,preview_status,notes,zip_member,sha256,local_copy
1,미니 블루 드래곤,01663ed8b2a94562956e8029a79c03b5,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,projectile,high,medium,대표색 #C1DDFF; dark 0%/mid 10%/bright 90%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 3개; 실제 지연값 미확보,보조,확보,s_mon_blue_wyvern:빙룡 숨결:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0001_미니_블루_드래곤/preview.png,612f2ddc68a0a306389bcddeea52ae7d300c226cebec7b8b6aa0838beb43b4b5,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_001.png
2,animationclip-655540,01dbde634dd944e685b45727289bd9b8,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,impact/explosion,high,medium,대표색 #BDDEFF; dark 0%/mid 5%/bright 95%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 7개; 실제 지연값 미확보,보조,확보,s_mon_jr_wraith:망령 충격:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0002_animationclip-655540/preview.png,b16984ef17ed9e34a82bafc1fbfe994fc9a3dcc478cd13eb168f60de59f18429,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_002.png
3,animationclip-655555,01f39ee5971246ed8306bc471d44a1fd,MSW 공식 리소스 검색 API thumbnail,프로젝트 T16-3a의 모험가 계보 자료; 자산 자체 개정일 미확인,MEDIUM,LEGACY_REFERENCE,layered VFX,high,medium,대표색 #FFFFFF; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 9개; 실제 지연값 미확보,보조,확보,s_bow_02:바람의 시:effect_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0003_animationclip-655555/preview.png,008ba0ba3f0ba7d838e52d75f7486f896089ab7de30bc4fc9f5a58f29dcf1e46,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_003.png
4,animationclip-655557,0207c85c05dd4c4eac12f9ee735d0545,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,dash,high,medium,대표색 #FEFEFE; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 5개; 실제 지연값 미확보,보조,확보,s_mon_axe_stump:도끼 휘두르기:layer_ruids; s_mon_fire_boar:화염 돌풍:layer_ruids; s_mon_red_snail:붉은 껍질 돌진:layer_ruids; s_mon_ribbon_pig:리본 돌진:layer_ruids; s_mon_snail:몸통 박치기:layer_ruids; s_mon_wild_boar:저돌 맹진:layer_ruids; s_mon_wild_kargo:야수의 그림자 돌진:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0004_animationclip-655557/preview.png,26cce608f4e2d9718a7c265e9fda7a35cb4a13824e0c92da396b7fb88a15a1fe,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_004.png
5,돌아온 머쉬맘,05113e9dc86448cb8581731824106d75,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,impact/explosion,high,medium,대표색 #FFFFFF; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 15개; 실제 지연값 미확보,보조,확보,s_mon_mushmom:머쉬맘의 포자 충격:layer_ruids; s_mon_skeleton_commander:뼈 무덤:layer_ruids; s_mon_stone:암석 피부:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0005_돌아온_머쉬맘/preview.png,44fd566158d69d917d394156de78f6a055b9952bbc832725dedacd02fa542be9,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_005.png
6,animationclip-1041550,057c2da13da2492c95cb92db424803db,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,dash,high,medium,대표색 #FFFFFF; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 10개; 실제 지연값 미확보,보조,확보,s_mon_red_snail:붉은 껍질 돌진:layer_ruids; s_mon_ribbon_pig:리본 돌진:layer_ruids; s_mon_wild_kargo:야수의 그림자 돌진:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0006_animationclip-1041550/preview.png,7184b723b679bf375f1a6644adeefdbec49dbcd6ec47547f1e15c44d14781a6c,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_006.png
7,롬바드,06bbe7d534094761b54b147f3a79ca38,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,layered VFX,high,medium,대표색 #AE967C; dark 27%/mid 17%/bright 56%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 10개; 실제 지연값 미확보,보조,확보,s_mon_rombot:에오스 중력파:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0007_롬바드/preview.png,3f7da541b34976fa7fe8ea1243f4a5dcd66db99739ea24e3c93aa7ab40a7ee8a,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_007.png
8,설산의 마녀,0719861214fa45578488a1083f49df5a,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,wave/area,high,medium,대표색 #FDFFFF; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 4개; 실제 지연값 미확보,보조,확보,s_mon_snow_witch:추방자의 눈보라:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0008_설산의_마녀/preview.png,71db6a2eebf8523205c9fb858d25633bf047b9575f00adce43e4e7f756e747fa,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_008.png
9,스퀴드,0906c3a7455940ce9e9db0b0f0278741,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,impact/explosion,high,medium,대표색 #FFFFFF; dark 11%/mid 2%/bright 87%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 6개; 실제 지연값 미확보,보조,확보,s_mon_squid:심해 먹물 폭발:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0009_스퀴드/preview.png,05a09b201c679613558ae824022f771f94dfb11deb12bfb58a32a08f99f305c4,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_009.png
10,단단한 뿔,0928f98bbd114efc935696c1200c9d39,프로젝트 보존 원본/반입 프레임,프로젝트 T20/T32/T37 직접 제작 아이콘 기록,HIGH_PROJECT_ONLY,LEGACY_REFERENCE,icon,high,small,대표색 #A89D88; dark 20%/mid 8%/bright 72%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 1개; 실제 지연값 미확보,높음,확보,s_mon_horny_mushroom:단단한 뿔:icon_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0010_단단한_뿔/preview.png,25b73a380e4ead5ec8626f9864e9a10c1a2b49f80d754817eec0be4a52e73309,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_010.png
