monster_id,frame,file,width,height,required_width,required_height,canvas_match,rgba,alpha_min,alpha_max,edge_alpha_max,edge_pixels_over16,outside_centered85_pixels_alpha_over16,alpha_sum,alpha_sum_vs_peak,interpretation
m_snail,F00,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F00.png,384,384,384,384,True,True,0,255,1,0,0,621272,0.1527,외곽 85%는 중앙 정렬 사각형으로 계산한 보조 측정. 흐림/입자와 핵심 형태를 자동 분류하지 않음. 알파 합은 밝기나 품질 점수 아님.
m_snail,F01,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F01.png,384,384,384,384,True,True,0,254,1,0,0,1302207,0.3201,외곽 85%는 중앙 정렬 사각형으로 계산한 보조 측정. 흐림/입자와 핵심 형태를 자동 분류하지 않음. 알파 합은 밝기나 품질 점수 아님.
m_snail,F02,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F02.png,384,384,384,384,True,True,0,253,1,0,0,2089777,0.5138,외곽 85%는 중앙 정렬 사각형으로 계산한 보조 측정. 흐림/입자와 핵심 형태를 자동 분류하지 않음. 알파 합은 밝기나 품질 점수 아님.
m_snail,F03,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F03.png,384,384,384,384,True,True,0,255,1,0,201,2637917,0.6485,외곽 85%는 중앙 정렬 사각형으로 계산한 보조 측정. 흐림/입자와 핵심 형태를 자동 분류하지 않음. 알파 합은 밝기나 품질 점수 아님.
m_snail,F04,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F04.png,384,384,384,384,True,True,0,254,1,0,14,3226395,0.7932,외곽 85%는 중앙 정렬 사각형으로 계산한 보조 측정. 흐림/입자와 핵심 형태를 자동 분류하지 않음. 알파 합은 밝기나 품질 점수 아님.
m_snail,F05,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F05.png,384,384,384,384,True,True,0,254,1,0,333,4067650,1.0,외곽 85%는 중앙 정렬 사각형으로 계산한 보조 측정. 흐림/입자와 핵심 형태를 자동 분류하지 않음. 알파 합은 밝기나 품질 점수 아님.
m_snail,F06,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F06.png,384,384,384,384,True,True,0,253,1,0,4,1685369,0.4143,외곽 85%는 중앙 정렬 사각형으로 계산한 보조 측정. 흐림/입자와 핵심 형태를 자동 분류하지 않음. 알파 합은 밝기나 품질 점수 아님.
m_snail,F07,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F07.png,384,384,384,384,True,True,0,254,1,0,0,858061,0.2109,외곽 85%는 중앙 정렬 사각형으로 계산한 보조 측정. 흐림/입자와 핵심 형태를 자동 분류하지 않음. 알파 합은 밝기나 품질 점수 아님.
m_blue_snail,F00,AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F00.png,256,256,256,256,True,True,0,253,1,0,0,691313,0.1413,외곽 85%는 중앙 정렬 사각형으로 계산한 보조 측정. 흐림/입자와 핵심 형태를 자동 분류하지 않음. 알파 합은 밝기나 품질 점수 아님.
m_blue_snail,F01,AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F01.png,256,256,256,256,True,True,0,252,1,0,0,1211287,0.2475,외곽 85%는 중앙 정렬 사각형으로 계산한 보조 측정. 흐림/입자와 핵심 형태를 자동 분류하지 않음. 알파 합은 밝기나 품질 점수 아님.
m_blue_snail,F02,AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F02.png,256,256,256,256,True,True,0,255,1,0,0,1780192,0.3637,외곽 85%는 중앙 정렬 사각형으로 계산한 보조 측정. 흐림/입자와 핵심 형태를 자동 분류하지 않음. 알파 합은 밝기나 품질 점수 아님.
m_blue_snail,F03,AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F03.png,256,256,256,256,True,True,0,253,1,0,0,2867206,0.5858,외곽 85%는 중앙 정렬 사각형으로 계산한 보조 측정. 흐림/입자와 핵심 형태를 자동 분류하지 않음. 알파 합은 밝기나 품질 점수 아님.
m_blue_snail,F04,AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F04.png,256,256,256,256,True,True,0,255,1,0,0,4894189,1.0,외곽 85%는 중앙 정렬 사각형으로 계산한 보조 측정. 흐림/입자와 핵심 형태를 자동 분류하지 않음. 알파 합은 밝기나 품질 점수 아님.
m_blue_snail,F05,AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F05.png,256,256,256,256,True,True,0,253,1,0,19,3649599,0.7457,외곽 85%는 중앙 정렬 사각형으로 계산한 보조 측정. 흐림/입자와 핵심 형태를 자동 분류하지 않음. 알파 합은 밝기나 품질 점수 아님.
m_blue_snail,F06,AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F06.png,256,256,256,256,True,True,0,255,1,0,8,1389520,0.2839,외곽 85%는 중앙 정렬 사각형으로 계산한 보조 측정. 흐림/입자와 핵심 형태를 자동 분류하지 않음. 알파 합은 밝기나 품질 점수 아님.
m_blue_snail,F07,AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F07.png,256,256,256,256,True,True,0,253,1,0,0,633738,0.1295,외곽 85%는 중앙 정렬 사각형으로 계산한 보조 측정. 흐림/입자와 핵심 형태를 자동 분류하지 않음. 알파 합은 밝기나 품질 점수 아님.
m_red_snail,F00,AREA_00_IMAGES_OUTPUT/monsters/003_m_red_snail_빨간_달팽이/VFX/003_m_red_snail_s_mon_red_snail_F00.png,256,256,256,256,True,True,0,255,1,0,0,399536,0.1253,외곽 85%는 중앙 정렬 사각형으로 계산한 보조 측정. 흐림/입자와 핵심 형태를 자동 분류하지 않음. 알파 합은 밝기나 품질 점수 아님.
m_red_snail,F01,AREA_00_IMAGES_OUTPUT/monsters/003_m_red_snail_빨간_달팽이/VFX/003_m_red_snail_s_mon_red_snail_F01.png,256,256,256,256,True,True,0,253,1,0,0,935623,0.2935,외곽 85%는 중앙 정렬 사각형으로 계산한 보조 측정. 흐림/입자와 핵심 형태를 자동 분류하지 않음. 알파 합은 밝기나 품질 점수 아님.
m_red_snail,F02,AREA_00_IMAGES_OUTPUT/monsters/003_m_red_snail_빨간_달팽이/VFX/003_m_red_snail_s_mon_red_snail_F02.png,256,256,256,256,True,True,0,255,16,0,0,1397477,0.4384,외곽 85%는 중앙 정렬 사각형으로 계산한 보조 측정. 흐림/입자와 핵심 형태를 자동 분류하지 않음. 알파 합은 밝기나 품질 점수 아님.
