area_id,monster_id,monster_name,skill_id,skill_name,role,style_judgment,actual_output_files,finish_observation,keep_material_motion,finish_change_candidate,detail_board,action,implemented,scope_guard
area_02,m_stone_golem,스톤골렘,s_mon_stone,암석 피부,ICON,NEEDS_USER_REVIEW,AREA_02_IMAGES_OUTPUT/ICON/001_m_stone_golem_s_mon_stone_ICON.png,금속·나무·뼈·돌을 둘러싼 두꺼운 거의 검은 외곽과 거친 면 질감이 AREA00 및 AREA20의 더 가는 윤곽보다 강조된다. 소재의 거칠기는 허용되므로 곧바로 오류로 확정하지 않는다.,맞물린 암석 판 두 겹과 틈새에서 새는 흙빛 광선. ‘스톤골렘 / 암석 피부’ 전용 소재이며 몬스터 본체는 VFX에 직접 넣지 않음 | none,소재의 결은 유지. ICON 외곽 굵기와 검은 테두리 강조를 허용할지 사용자 판단,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\STYLE_OUTLIERS\area_02_m_stone_golem_ICON_COMPARE.png,사용자 판단,NO,목록 역할에 한정. CAST/ICON 본체 금지 철회 판정은 번복하지 않음; 스타일 판단과 별도
area_02,m_axe_stump,엑스텀프,s_mon_axe_stump,도끼 휘두르기,ICON,NEEDS_USER_REVIEW,AREA_02_IMAGES_OUTPUT/ICON/002_m_axe_stump_s_mon_axe_stump_ICON.png,금속·나무·뼈·돌을 둘러싼 두꺼운 거의 검은 외곽과 거친 면 질감이 AREA00 및 AREA20의 더 가는 윤곽보다 강조된다. 소재의 거칠기는 허용되므로 곧바로 오류로 확정하지 않는다.,도끼날 실루엣의 짧고 무거운 전방 궤적과 나무 부스러기. ‘엑스텀프 / 도끼 휘두르기’ 전용 소재이며 몬스터 본체는 VFX에 직접 넣지 않음 | none,소재의 결은 유지. ICON 외곽 굵기와 검은 테두리 강조를 허용할지 사용자 판단,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\STYLE_OUTLIERS\area_02_m_axe_stump_ICON_COMPARE.png,사용자 판단,NO,목록 역할에 한정. CAST/ICON 본체 금지 철회 판정은 번복하지 않음; 스타일 판단과 별도
area_02,m_dark_axe_stump,다크 엑스텀프,s_mon_dark_axe_stump,어둠의 뿌리,ICON,NEEDS_USER_REVIEW,AREA_02_IMAGES_OUTPUT/ICON/003_m_dark_axe_stump_s_mon_dark_axe_stump_ICON.png,금속·나무·뼈·돌을 둘러싼 두꺼운 거의 검은 외곽과 거친 면 질감이 AREA00 및 AREA20의 더 가는 윤곽보다 강조된다. 소재의 거칠기는 허용되므로 곧바로 오류로 확정하지 않는다.,지면을 찢고 솟는 검은 뿌리 갈퀴와 보랏빛 흙먼지. ‘다크 엑스텀프 / 어둠의 뿌리’ 전용 소재이며 몬스터 본체는 VFX에 직접 넣지 않음 | none,소재의 결은 유지. ICON 외곽 굵기와 검은 테두리 강조를 허용할지 사용자 판단,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\STYLE_OUTLIERS\area_02_m_dark_axe_stump_ICON_COMPARE.png,사용자 판단,NO,목록 역할에 한정. CAST/ICON 본체 금지 철회 판정은 번복하지 않음; 스타일 판단과 별도
area_02,m_wild_boar,와일드보어,s_mon_wild_boar,저돌 맹진,ICON,NEEDS_USER_REVIEW,AREA_02_IMAGES_OUTPUT/ICON/004_m_wild_boar_s_mon_wild_boar_ICON.png,금속·나무·뼈·돌을 둘러싼 두꺼운 거의 검은 외곽과 거친 면 질감이 AREA00 및 AREA20의 더 가는 윤곽보다 강조된다. 소재의 거칠기는 허용되므로 곧바로 오류로 확정하지 않는다.,멧돼지 어금니를 닮은 두 갈래 전방 압축선과 흙먼지. ‘와일드보어 / 저돌 맹진’ 전용 소재이며 몬스터 본체는 VFX에 직접 넣지 않음 | none,소재의 결은 유지. ICON 외곽 굵기와 검은 테두리 강조를 허용할지 사용자 판단,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\STYLE_OUTLIERS\area_02_m_wild_boar_ICON_COMPARE.png,사용자 판단,NO,목록 역할에 한정. CAST/ICON 본체 금지 철회 판정은 번복하지 않음; 스타일 판단과 별도
area_02,m_iron_hog,아이언 호그,s_mon_iron_hog,강철 발굽,ICON,NEEDS_USER_REVIEW,AREA_02_IMAGES_OUTPUT/ICON/005_m_iron_hog_s_mon_iron_hog_ICON.png,금속·나무·뼈·돌을 둘러싼 두꺼운 거의 검은 외곽과 거친 면 질감이 AREA00 및 AREA20의 더 가는 윤곽보다 강조된다. 소재의 거칠기는 허용되므로 곧바로 오류로 확정하지 않는다.,철제 발굽이 지면을 찍는 반달 충격과 쇳가루. ‘아이언 호그 / 강철 발굽’ 전용 소재이며 몬스터 본체는 VFX에 직접 넣지 않음 | none,소재의 결은 유지. ICON 외곽 굵기와 검은 테두리 강조를 허용할지 사용자 판단,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\STYLE_OUTLIERS\area_02_m_iron_hog_ICON_COMPARE.png,사용자 판단,NO,목록 역할에 한정. CAST/ICON 본체 금지 철회 판정은 번복하지 않음; 스타일 판단과 별도
area_02,m_skeleton_commander,스켈레톤 지휘관,s_mon_skeleton_commander,뼈 무덤,ICON,NEEDS_USER_REVIEW,AREA_02_IMAGES_OUTPUT/ICON/006_m_skeleton_commander_s_mon_skeleton_commander_ICON.png,금속·나무·뼈·돌을 둘러싼 두꺼운 거의 검은 외곽과 거친 면 질감이 AREA00 및 AREA20의 더 가는 윤곽보다 강조된다. 소재의 거칠기는 허용되므로 곧바로 오류로 확정하지 않는다.,지면에서 비스듬히 솟는 뼈기둥과 묘지 흙 파편. ‘스켈레톤 지휘관 / 뼈 무덤’ 전용 소재이며 몬스터 본체는 VFX에 직접 넣지 않음 | none,소재의 결은 유지. ICON 외곽 굵기와 검은 테두리 강조를 허용할지 사용자 판단,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\STYLE_OUTLIERS\area_02_m_skeleton_commander_ICON_COMPARE.png,사용자 판단,NO,목록 역할에 한정. CAST/ICON 본체 금지 철회 판정은 번복하지 않음; 스타일 판단과 별도
area_02,m_stumpy,스텀피,s_mon_stumpy,고목의 생기탄,ICON,NEEDS_USER_REVIEW,AREA_02_IMAGES_OUTPUT/ICON/008_m_stumpy_s_mon_stumpy_ICON.png,금속·나무·뼈·돌을 둘러싼 두꺼운 거의 검은 외곽과 거친 면 질감이 AREA00 및 AREA20의 더 가는 윤곽보다 강조된다. 소재의 거칠기는 허용되므로 곧바로 오류로 확정하지 않는다.,고목 나이테에서 싹이 돋아 응축된 생기탄. 몬스터 본체는 넣지 않는다. | none,소재의 결은 유지. ICON 외곽 굵기와 검은 테두리 강조를 허용할지 사용자 판단,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\STYLE_OUTLIERS\area_02_m_stumpy_ICON_COMPARE.png,사용자 판단,NO,목록 역할에 한정. CAST/ICON 본체 금지 철회 판정은 번복하지 않음; 스타일 판단과 별도
area_05,m_ribbon_pig,리본 돼지,s_mon_ribbon_pig,리본 돌진,ICON,STYLE_OUTLIER,AREA_05_IMAGES_OUTPUT/ICON/001_m_ribbon_pig_s_mon_ribbon_pig_ICON.png,"256px 원본에서 곡선 외곽과 흰 하이라이트가 굵은 계단형 픽셀 군집으로 끊긴다. AREA00 ICON의 연속적인 곡선·색면 경계와 다르며, 같은 Area의 리본/별가시/집게 CAST는 부드러운 회화적 마감이다.",분홍 리본 매듭이 전방으로 길게 풀리는 돌진 궤적. ‘리본 돼지 / 리본 돌진’ 전용 소재이며 몬스터 본체는 VFX에 직접 넣지 않음 | none,"실루엣·대표색을 유지하고 외곽 계단, 하이라이트의 사각 단위, 명암 경계를 AREA00에 맞춰 정돈",D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\STYLE_OUTLIERS\area_05_m_ribbon_pig_ICON_COMPARE.png,원화 수정 후보,NO,목록 역할에 한정. CAST/ICON 본체 금지 철회 판정은 번복하지 않음; 스타일 판단과 별도
area_05,m_blue_pig,파란 리본돼지,s_mon_blue_pig,푸른 리본 매듭,ICON,STYLE_OUTLIER,AREA_05_IMAGES_OUTPUT/ICON/002_m_blue_pig_s_mon_blue_pig_ICON.png,"256px 원본에서 곡선 외곽과 흰 하이라이트가 굵은 계단형 픽셀 군집으로 끊긴다. AREA00 ICON의 연속적인 곡선·색면 경계와 다르며, 같은 Area의 리본/별가시/집게 CAST는 부드러운 회화적 마감이다.",푸른 리본 매듭이 겹겹이 조여드는 원형 결속광. ‘파란 리본돼지 / 푸른 리본 매듭’ 전용 소재이며 몬스터 본체는 VFX에 직접 넣지 않음 | none,"실루엣·대표색을 유지하고 외곽 계단, 하이라이트의 사각 단위, 명암 경계를 AREA00에 맞춰 정돈",D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\STYLE_OUTLIERS\area_05_m_blue_pig_ICON_COMPARE.png,원화 수정 후보,NO,목록 역할에 한정. CAST/ICON 본체 금지 철회 판정은 번복하지 않음; 스타일 판단과 별도
area_05,m_blue_pig,파란 리본돼지,s_mon_blue_pig,푸른 리본 매듭,REFERENCE_VFX,STYLE_OUTLIER,AREA_05_IMAGES_OUTPUT/REFERENCE/002_m_blue_pig_s_mon_blue_pig_REFERENCE_F00.png|AREA_05_IMAGES_OUTPUT/REFERENCE/002_m_blue_pig_s_mon_blue_pig_REFERENCE_F01.png|AREA_05_IMAGES_OUTPUT/REFERENCE/002_m_blue_pig_s_mon_blue_pig_REFERENCE_F02.png|AREA_05_IMAGES_OUTPUT/REFERENCE/002_m_blue_pig_s_mon_blue_pig_REFERENCE_F03.png|AREA_05_IMAGES_OUTPUT/REFERENCE/002_m_blue_pig_s_mon_blue_pig_REFERENCE_F04.png|AREA_05_IMAGES_OUTPUT/REFERENCE/002_m_blue_pig_s_mon_blue_pig_REFERENCE_F05.png,F00–F05 리본과 고리의 가장자리가 계단형 픽셀 선이고 명암 띠가 굵게 끊긴다. 같은 소재인 리본돼지 CAST의 곡선 그라데이션과 차이가 있다.,푸른 리본 매듭이 겹겹이 조여드는 원형 결속광. ‘파란 리본돼지 / 푸른 리본 매듭’ 전용 소재이며 몬스터 본체는 VFX에 직접 넣지 않음 | preview only; no engine motion/FlipX contract,푸른 매듭·조임 고리와 짧은 호흡을 유지; 리본 음영과 광륜 가장자리 마감 정돈,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\STYLE_OUTLIERS\area_05_m_blue_pig_REFERENCE_VFX_COMPARE.png,원화 수정 후보,NO,목록 역할에 한정. CAST/ICON 본체 금지 철회 판정은 번복하지 않음; 스타일 판단과 별도
