No,Requirement,PreviousStatus,FinalStatus,Verification,Evidence,Remaining
1,"Baseline preservation and separate rework lineage",PASS_STATIC_ONLY,PASS_STATIC,Static,"skill audit baseline 2eb7498eda-wtfe5fd560ce4c; dirty worktree preserved; no reset/commit","None"
2,"Latest roguelite specification priority",PARTIAL,PASS_STATIC,Static,"GameData roguelite flags and new run path; legacy entry points guarded","None"
3,"One Area per Run flow",PASS_RUNTIME,PASS_RUNTIME,Runtime,"Area start; generated rooms; objective; clear/fail; lobby return; reset logs","None"
4,"Base combat and common run stats",PASS_RUNTIME,PASS_RUNTIME,Runtime,"single-target basic attack; hit without normal hit-stun; RPG isolation probes","None"
5,"Fixed five ability slots",PASS_RUNTIME,PASS_RUNTIME,Runtime,"0/1/4/5 slots; persistent slot after use; no duplicates","None"
6,"Ability acquire replace and decline",PARTIAL,PASS_RUNTIME,Runtime,"empty-slot equip; full-slot pending; replace; decline; FIFO duplicate rejection","None"
7,"Per-skill cooldown reuse",PARTIAL,PASS_RUNTIME,Runtime,"66 skills first use/immediate block/expired reuse; slot move and reacquire do not reset","Human visual review of every effect frame was not part of this pass"
8,"Disable random supply and consumable slots",PARTIAL,PASS_RUNTIME,Runtime,"6.2 second empty-slot observation; no supply; use retained slot","None"
9,"Graph-based procedural level generation",PASS_STATIC_ONLY,PASS_RUNTIME,Runtime+Static,"20 Area graph generation; actual traversal Area 00 and 02-20; templates selected from Area pools","None"
10,"Generation settings and validation",PARTIAL,PASS_STATIC,Static+Runtime traversal,"bounded retry; fallback DFS; start/goal/connectivity/path/branch validation; traversal evidence","Internal wall width validation is not applicable to current zero-collidable-wall maps"
11,"Seed reproducibility and portfolio record",PASS_STATIC_ONLY,PASS_STATIC,Server simulation,"40 deterministic cases; graph/template/role/encounter/objective repeat; combat RNG isolation","No second physical server comparison"
12,"Monster composition and spawn",PARTIAL,PASS_RUNTIME,Runtime,"Area 02-20 spawn logs; one-shot encounter no respawn after 5 seconds","Natural balance was not certified because HP assist was used in exhaustive Area traversal"
13,"Skill compatibility with generated terrain",NOT_RUN,PARTIAL,Runtime+Static,"66 actual PlayerAttack executions and VFX dispatch; portal/corridor traversal","All current maps have zero internal collidable wall tiles/entities; projectile/dash/AoE wall semantics remain future-content risk"
14,"Objectives and clear",PARTIAL,PASS_RUNTIME,Runtime,"reach_exit and defeat_final_guardian both exercised; clear returns to lobby","Only the two currently implemented objective types are claimed"
15,"Solo and cooperative play",PARTIAL,PARTIAL,Runtime+Static,"Solo full run pass; cooperative state code audited","2-4 independent Maker clients unavailable: BLOCKED_RUNTIME_MULTIPLAYER"
16,"Participant-count difficulty",PASS_STATIC_ONLY,PASS_STATIC,Server simulation,"1P 1.00; 2P 1.25; 3P 1.50; 4P 1.75; fixed at run start","No real multi-client combat balance validation"
17,"Cooperative ability acquisition",PASS_STATIC_ONLY,PASS_STATIC,Static,"server participant eligibility and per-player slot offer path audited","Real multi-client acquisition is BLOCKED"
18,"HUD acquisition UI and permanent records",PARTIAL,PASS_RUNTIME,Runtime+Static,"fixed SkillBar/cooldown/objective HUD; pending replace/decline; Trait root/button disabled","Co-op participant HUD not runtime-verified"
19,"Save separation and server authority",PARTIAL,PASS_RUNTIME,Runtime+Static,"14/14 save parser cases; isolated namespace; forged slot/pending/start requests rejected","Real reconnect across independent clients is BLOCKED"
20,"No forced 30-second onboarding",PASS_STATIC_ONLY,PASS_STATIC,Static,"no active mlua implementation; only archived/design references","None"
21,"Existing map reuse and exposure scope",PARTIAL,PASS_STATIC,Static+Runtime sample,"163 maps classified: 157 run eligible, 5 reference, 1 town; 20 Area pools mapped","Not every one of 157 source maps was individually played"
22,"Track changes against skill-audit baseline",PARTIAL,PASS_STATIC,Static,"baseline ID and behavior deltas documented; SkillTable/MonsterTable not rewritten in this audit","None"
23,"Final completion report",MISSING_IMPL,PASS_STATIC,Static,"FINAL_COMPLETION_AUDIT.md plus CSV evidence tables","None"
