index,name,RUID,original_priority,chronology,view_scope,usable_kind,use_limitation,zip_member,sha256
1,미니 블루 드래곤,01663ed8b2a94562956e8029a79c03b5,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0001_미니_블루_드래곤/preview.png,612f2ddc68a0a306389bcddeea52ae7d300c226cebec7b8b6aa0838beb43b4b5
2,animationclip-655540,01dbde634dd944e685b45727289bd9b8,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0002_animationclip-655540/preview.png,b16984ef17ed9e34a82bafc1fbfe994fc9a3dcc478cd13eb168f60de59f18429
3,animationclip-655555,01f39ee5971246ed8306bc471d44a1fd,LEGACY_REFERENCE,프로젝트 T16-3a의 모험가 계보 자료; 자산 자체 개정일 미확인,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0003_animationclip-655555/preview.png,008ba0ba3f0ba7d838e52d75f7486f896089ab7de30bc4fc9f5a58f29dcf1e46
4,animationclip-655557,0207c85c05dd4c4eac12f9ee735d0545,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0004_animationclip-655557/preview.png,26cce608f4e2d9718a7c265e9fda7a35cb4a13824e0c92da396b7fb88a15a1fe
5,돌아온 머쉬맘,05113e9dc86448cb8581731824106d75,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0005_돌아온_머쉬맘/preview.png,44fd566158d69d917d394156de78f6a055b9952bbc832725dedacd02fa542be9
6,animationclip-1041550,057c2da13da2492c95cb92db424803db,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0006_animationclip-1041550/preview.png,7184b723b679bf375f1a6644adeefdbec49dbcd6ec47547f1e15c44d14781a6c
7,롬바드,06bbe7d534094761b54b147f3a79ca38,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,BODY_SCREENED,본체 이미지가 중심. 몬스터 정체성 보조 외 VFX 마감 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0007_롬바드/preview.png,3f7da541b34976fa7fe8ea1243f4a5dcd66db99739ea24e3c93aa7ab40a7ee8a
8,설산의 마녀,0719861214fa45578488a1083f49df5a,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0008_설산의_마녀/preview.png,71db6a2eebf8523205c9fb858d25633bf047b9575f00adce43e4e7f756e747fa
9,스퀴드,0906c3a7455940ce9e9db0b0f0278741,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0009_스퀴드/preview.png,05a09b201c679613558ae824022f771f94dfb11deb12bfb58a32a08f99f305c4
10,단단한 뿔,0928f98bbd114efc935696c1200c9d39,LEGACY_REFERENCE,프로젝트 T20/T32/T37 직접 제작 아이콘 기록,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0010_단단한_뿔/preview.png,25b73a380e4ead5ec8626f9864e9a10c1a2b49f80d754817eec0be4a52e73309
11,sprite-8907568,0af9fd3ccfb540799043da5e580aebbd,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0011_sprite-8907568/preview.png,7ebb60a95dfd3fe362c386b522454ab1ce24dd58eda7b4e9d5966a90d9ad8f2e
12,머쉬맘의 포자 충격,0b09a6a325c54caca2282859ae624b22,LEGACY_REFERENCE,프로젝트 T20/T32/T37 직접 제작 아이콘 기록,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0012_머쉬맘의_포자_충격/preview.png,3ddf4f591bd4619c05c04b3d9e31426b9a6b1c844f6bd104e57a6a3678522423
13,어둠의 뿌리,0fbbe12552664c5f87944ff56a630178,LEGACY_REFERENCE,프로젝트 T20/T32/T37 직접 제작 아이콘 기록,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0013_어둠의_뿌리/preview.png,5e1723e40c3e63316715f150064c9fc8690966c1e20934c59b6af43fb0bf3ef8
14,능력의 다크 와이번,1215ca4153664cb18a207cddcc5ab22c,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0014_능력의_다크_와이번/preview.png,5510dc640bff008b9524dec2d57f82c2d946bc4b314864ab5b1bec568b95c934
15,키메라,127defcb953144368b79da1417f8b4b4,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0015_키메라/preview.png,9ff035fcbf10e7e71822205648b605cec29db893e3b3eb5500ec58f544084b2d
16,마뇽,128fe611ea9347aab589c5b5d4d8fc5b,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0016_마뇽/preview.png,9130e1fedd3a8815f85057f98bea0d2be60d9a09852da553913333a43dbca4d3
17,animationclip-656600,12b8ddbe34324edf81ba40fc36f4ad56,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0017_animationclip-656600/preview.png,22509395b37c01fdb0eebdabd06baa02a59f7a6006c7dbe824b4dcf4dd9dd32d
18,구미호,1660382723ff40c296845e8ded7bbc86,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0018_구미호/preview.png,b32b10610ec5d8b7e703c9c693c97d753ef1ecd40e2cb96d83c112ebbbd40c74
19,[★] 정식기사C,1a648542a3b447f594b5c331cf44503f,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,CONTACT_SHEET_SCREENED_ONLY,183개 인벤토리 축소 보드에서 내용 선별만 수행. 정밀 마감/알파/동작 판단 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0019_[★]_정식기사C/preview.png,ab79f189fef4203cbe903426f90b63d570498b3ab24e2be12a142ba0c9fcd3d3
20,수련용 나무인형,1ad77c5bc77f4ee3a7b212d6394f0b13,UNKNOWN,리소스 API에 출시 시기 메타데이터 없음,INVENTORY_ONLY,BODY_SCREENED,본체 이미지가 중심. 몬스터 정체성 보조 외 VFX 마감 근거로 사용하지 않음.,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0020_수련용_나무인형/preview.png,00ebe1dde376bda8b1285ec55b881264f91f7addcad6b843124f23e55aea8487
